"rows.list[[i]]","PHYLLO10","PHYLLO15","PHYLLO23","PHYLLO16","PHYLLO24","PHYLLO25"
"X.alpha.1.6.mannosyltransferase.activity..GO.0000009..",0,0,0.375043417587173,0,0,0
"X.alpha.1.2.mannosyltransferase.activity..GO.0000026..",0,0,0,2.0059838537198,0,0
"mannosyltransferase.activity..GO.0000030.",0,2.22836068712986,5.62565126380759,8.02393541487921,0,7.13482321431495
"adenine.deaminase.activity..GO.0000034.",0,6.68508206138958,12.0013893627895,6.0179515611594,7.21082195000273,13.1719813187353
"ACP.phosphopantetheine.attachment.site.binding.involved.in.fatty.acid.biosynthetic.process..GO.0000036.",0,2.22836068712986,5.25060784622042,4.0119677074396,0,2.74416277473652
"tRNA.binding..GO.0000049.",33.7194265043676,358.766070627907,325.912729883253,304.90954576541,288.432878000109,308.443895880385
"fatty.acyl.CoA.binding..GO.0000062.",0,0,2.62530392311021,0,4.80721463333516,2.74416277473652
"succinate.dehydrogenase.activity..GO.0000104.",0,20.0552461841687,33.0038207476712,12.0359031223188,21.6324658500082,42.2601067309424
"imidazoleglycerol.phosphate.synthase.activity..GO.0000107.",0,6.68508206138958,24.0027787255791,12.0359031223188,12.0180365833379,17.5626417583137
"microfilament.motor.activity..GO.0000146.",0,0,0.375043417587173,0,0,0
"recombinase.activity..GO.0000150.",0,40.1104923683375,28.128256319038,34.1017255132366,2.40360731666758,23.0509673077868
"phosphorelay.sensor.kinase.activity..GO.0000155.",1065.53387753801,577.145417966634,910.980461319243,798.381573780481,980.671785200372,1024.67038008662
"phosphorelay.response.regulator.activity..GO.0000156.",559.742479972501,516.979679414128,727.209186701528,736.196074315167,790.786807183633,858.922948492531
"nucleotide.binding..GO.0000166.",0,207.237543903077,267.405956739654,328.981352010047,182.674156066736,235.997998627341
"X3..5..exoribonuclease.activity..GO.0000175.",0,28.9686889326882,42.3799061873505,34.1017255132366,12.0180365833379,47.1995997254681
"X.rRNA..adenine.N6.N6...dimethyltransferase.activity..GO.0000179..",0,24.5119675584285,21.0024313848817,32.0957416595168,19.2288585333406,19.2091394231556
"NAD..diphosphatase.activity..GO.0000210.",0,2.22836068712986,0.375043417587173,0,2.40360731666758,5.48832554947304
"tRNA.intron.endonuclease.activity..GO.0000213.",0,0,0.375043417587173,2.0059838537198,0,0.548832554947304
"C.22.sterol.desaturase.activity..GO.0000249.",0,2.22836068712986,0.750086835174346,0,0,0
"nitrilase.activity..GO.0000257.",0,0,0,0,0,0
