"rows.list[[i]]","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"X.Acidobacteriales.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacterium",0,0,0,0,0,0,0,3.60906229500474,0,0,0,0,0,0,0
"Acidocella",0,0,1.03309698774895,0,0,0,4.87036574756993,0,0,0,0,0,0,0,0
"Acidomonas",0,0,1.03309698774895,0,0,0,0,0,0,0,0,0,1.52686926197807,1.74528171461976,0
"Acidothermus",0,0,0,0,0,0,0,0,0,0,0,0.675612680465471,3.81717315494518,0,0
"Acidovorax",0,0,0,0,0,29.0647737851394,0,0,4204.57261801981,2773.28490442423,1531.01168811877,2630.16016505208,125.966714113191,3772.71730643639,0
"Acinetobacter",0,1953.40628436739,11093.3954544482,2236.87437022443,10006.8707823584,7651.30169893794,6438.62351828745,7536.92509273491,10005.5069167616,6902.34522017229,7000.90494467161,1287.04215628672,90.8487210876953,451.446203514978,0
"Acremonium",0,2.22483631476923,1.03309698774895,0,0,0,0,0,0,0,0,0,0,0,0
"Acromyrmex",0,0,0,0,0,0,1.21759143689248,0,0,0,0,0,0,0,0
"Acropora",0,0,0,0,0,0,0,0,0,0,0,0,0.763434630989036,0,0
"Actibacterium",0,0,0,0,0,0,0,0,0.502158439988034,0,0,0,0.763434630989036,1.16352114307984,0
"Actinobacillus",0,0,0,0.98453977562695,0,0,0,0,0.502158439988034,0,0,0,0,0,0
"X.Actinobacteria.",0,0,42.3569764977067,0,9.0445325220159,122.072049897585,0,0,150.64753199641,0,144.259459974716,488.467967976536,473.329471213202,391.524864646367,123.980933185796
"Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinokineospora",0,0,0,0,0,0,0,0,0,0,0,1.35122536093094,3.81717315494518,0.581760571539921,0
"Actinomyces",0,0,5.16548493874473,0,0,0,0,0,2.00863375995214,0,0,0,0,1.74528171461976,0
"X.Actinomycetaceae.",0,0,1.03309698774895,0,3.61781300880636,0,0,0,6.02590127985641,0,2.65916055252934,1.35122536093094,0,0.581760571539921,0
"X.Actinomycetales.",0,0,1357.48944190211,0,586.085707426631,1073.9433913609,0,0,1668.67249608024,0,1741.08537176858,3670.6036929689,2857.53582379196,2978.61412628439,981.928990831507
"Actinoplanes",0,0,14.4633578284852,0,0,0,0,0,25.1079219994017,0,13.960592900779,52.0221763958413,22.139604298682,55.2672542962925,0
"Actinosynnema",0,0,1.03309698774895,0,0,1.45323868925697,0,0,0,0,0,6.75612680465471,0.763434630989036,1.16352114307984,0
"Actinotalea",0,0,2.06619397549789,1.9690795512539,0,7.26619344628484,2.43518287378497,0,1.5064753199641,0,1.32958027626467,4.05367608279283,6.87091167890132,5.23584514385929,4.95923732743185
"Acyrthosiphon",0,6.6745089443077,23.7612307182257,27.5671137175546,0,4.3597160677709,8.52314005824738,186.468218575245,4.01726751990427,2.37438776063718,2.65916055252934,4.05367608279283,6.87091167890132,0,0
"X.Adenoviridae.",0,0,0,0,0,0,0,0,0,0,0,2.02683804139641,0.763434630989036,0.581760571539921,0
"Adineta",0,0,0,0,0,1.45323868925697,0,0,0,0,0,0,0,0,0
"Adlercreutzia",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0,0,0
"Advenella",0,0,8.26477590199156,0,0,0,3.65277431067745,0,1.00431687997607,0,1.32958027626467,1.35122536093094,1.52686926197807,0.581760571539921,0
"Aedes",1.18430776892476,0,1.03309698774895,0,0,0,0,1.20302076500158,0.502158439988034,0,0,0,0,0,0
"Aequorivita",0,0,1.03309698774895,0.98453977562695,0,7.26619344628484,17.0462801164948,0,2.51079219994017,0,1.32958027626467,1.35122536093094,0.763434630989036,2.32704228615968,2.47961866371593
"X.Aerococcaceae.",0,0,0,0,1.80890650440318,0,0,0,0,0,0.664790138132334,0,0,1.74528171461976,0
"Aerococcus",0,0,36.1583945712131,10.8299375318965,12.6623455308223,8.71943213554181,38.9629259805594,2.40604153000316,7.53237659982051,0,6.64790138132334,0.675612680465471,0.763434630989036,3.49056342923952,0
"Aeromicrobium",0,0,3.09929096324684,0,0,0,0,0,0,0,0.664790138132334,5.40490144372377,0,4.07232400077945,0
"X.Aeromonadales.",0,0,0,0,1.80890650440318,0,0,0,0,0,0,0,0,0,0
"Aeromonas",0,0,3.09929096324684,1.9690795512539,0,0,3.65277431067745,0,1.00431687997607,0,0.664790138132334,0,0,0,0
"Afipia",0,0,5.16548493874473,0,0,0,0,0,0,0,0,2.02683804139641,3.05373852395614,1.16352114307984,0
"X.Agaricales.",0,2.22483631476923,4.13238795099578,0,0,0,1.21759143689248,0,0,0,1.32958027626467,0,0.763434630989036,0,2.47961866371593
"X.Agaricomycetes.",0,6.6745089443077,22.7281337304768,5.9072386537617,7.23562601761272,7.26619344628484,29.2221944854196,4.81208306000632,4.01726751990427,0,2.65916055252934,0.675612680465471,1.52686926197807,0,0
"Agaricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agarivorans",0,0,0,0.98453977562695,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter",0,0,0,0,0,0,0,0,0.502158439988034,0,0,0.675612680465471,0,0,0
"Agrius",0,0,0,0,0,0,0,1.20302076500158,0,0,0,0,0,0,0
"Agrobacterium",0,0,5.16548493874473,0,5.42671951320954,2.90647737851394,3.65277431067745,0,37.1597245591145,0,3.32395069066167,47.292887632583,40.4620354424189,175.109932033516,7.43885599114778
"Agrococcus",0,0,4.13238795099578,0.98453977562695,1.80890650440318,47.9568767454799,6.08795718446241,0,7.03021815983247,0,16.6197534533084,9.45857752651659,9.16121557186843,6.39936628693913,2.47961866371593
"Agrotis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahjdlikevirus",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0,1.74528171461976,0
"Ahrensia",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0.763434630989036,0.581760571539921,0
"Ajellomyces",0,0,9.29787288974051,3.9381591025078,7.23562601761272,1.45323868925697,1.21759143689248,2.40604153000316,5.52374283986837,0,1.994370414397,0,0,1.74528171461976,2.47961866371593
"Akkermansia",0,0,0,0.98453977562695,1.80890650440318,0,0,0,1.00431687997607,0,0.664790138132334,1.35122536093094,0,1.16352114307984,2.47961866371593
"Albugo",0,0,0,0,0,0,4.87036574756993,1.20302076500158,0.502158439988034,0,3.32395069066167,0,0.763434630989036,0,0
"X.Alcaligenaceae.",0,0,0,0,0,0,2.43518287378497,0,0,0,0,0,0,3.49056342923952,0
"Alcaligenes",0,0,0,0,0,0,0,1.20302076500158,2.00863375995214,0,0,0,0,0,0
"Alcanivorax",0,0,0,0.98453977562695,0,0,0,0,0,2.37438776063718,1.32958027626467,1.35122536093094,0,0,0
"Algoriphagus",0,0,4.13238795099578,0,0,2.90647737851394,4.87036574756993,4.81208306000632,0.502158439988034,0,4.65353096692634,0,3.81717315494518,1.16352114307984,2.47961866371593
"Alicycliphilus",0,0,1.03309698774895,0,0,0,0,0,34.1467739191863,9.49755104254874,9.30706193385268,18.9171550530332,0,19.1980988608174,0
"X.Alicyclobacillaceae.",0,2.22483631476923,0,0,0,1.45323868925697,0,0,0,0,0,1.35122536093094,0,1.74528171461976,0
"Alicyclobacillus",0,0,0,0,0,0,0,0,0,0,0,2.02683804139641,0,0.581760571539921,0
"Aliivibrio",0,0,0,0,0,0,0,1.20302076500158,0,0,0,0,0,0.581760571539921,0
"Alishewanella",2.36861553784953,0,1.03309698774895,0,0,1.45323868925697,2.43518287378497,1.20302076500158,0,0,0.664790138132334,0,1.52686926197807,0,0
"Alistipes",0,0,1.03309698774895,0,10.8534390264191,5.81295475702787,0,0,18.0777038395692,14.2463265638231,17.949333729573,0.675612680465471,1.52686926197807,8.14464800155889,0
"Alkalibacterium",0,0,0,0,18.0890650440318,1.45323868925697,0,0,12.5539609997008,9.49755104254874,6.64790138132334,4.7292887632583,5.34404241692325,11.0534508592585,2.47961866371593
"Alkalilimnicola",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0,1.16352114307984,0
"Alkalimonas",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0,0,0
"Alkaliphilus",0,0,0,0,0,0,0,0,1.5064753199641,0,3.32395069066167,0,0,1.74528171461976,0
"Allochromatium",0,0,1.03309698774895,0,0,0,1.21759143689248,0,1.5064753199641,0,0.664790138132334,0,0,1.16352114307984,0
"Alloiococcus",0,0,0,0,5.42671951320954,0,0,0,2.00863375995214,2.37438776063718,5.98311124319101,0.675612680465471,0.763434630989036,0.581760571539921,2.47961866371593
"Alloprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscardovia",0,0,0,0,0,0,1.21759143689248,2.40604153000316,0,0,0,0,0,0,0
"X.Alphaproteobacteria.",0,0,430.80144389131,0,309.323012252944,653.957410165636,655.064193048156,91.4295781401202,627.195891545054,313.419184404108,798.412955896933,1156.64890895689,1282.57018006158,1929.11805522638,441.372122141435
"Alternaria",0,0,4.13238795099578,0.98453977562695,7.23562601761272,8.71943213554181,3.65277431067745,3.60906229500474,18.5798622795573,2.37438776063718,9.97185207198501,6.75612680465471,2.29030389296711,2.9088028576996,19.8369493097274
"X.Alteromonadaceae.",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0,0,0
"X.Alteromonadales.",0,4.44967262953847,3.09929096324684,0.98453977562695,0,4.3597160677709,3.65277431067745,3.60906229500474,1.5064753199641,0,2.65916055252934,0.675612680465471,0.763434630989036,2.32704228615968,2.47961866371593
"Alteromonas",0,0,1.03309698774895,1.9690795512539,0,0,0,0,0,0,0,0,0,1.16352114307984,0
"Amblyomma",0,2.22483631476923,2.06619397549789,0,0,0,0,0,0,0,0,0.675612680465471,0.763434630989036,0,0
"Aminobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0.581760571539921,0
"Aminomonas",0,0,0,0,0,0,0,0,0.502158439988034,0,0,0,0,0,0
"Ammonifex",0,0,0,0,0,0,0,0,0,0,0,0,0.763434630989036,1.74528171461976,0
"X.Amoebophilaceae.",0,0,1.03309698774895,0,0,0,0,0,0,0,0,0,0,0,0
"Amphibacillus",0,0,0,0,5.42671951320954,0,0,0,8.03453503980854,9.49755104254874,3.32395069066167,1.35122536093094,1.52686926197807,1.16352114307984,0
"Amphimedon",0,2.22483631476923,0,0,1.80890650440318,0,0,1.20302076500158,1.00431687997607,0,0,0,0,0.581760571539921,0
"Amycolatopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amycolicicoccus",0,0,2.06619397549789,0,0,1.45323868925697,1.21759143689248,1.20302076500158,2.00863375995214,0,1.32958027626467,1.35122536093094,2.29030389296711,2.32704228615968,0
"Anabaena",0,0,11.3640668652384,2.95361932688085,1.80890650440318,0,4.87036574756993,1.20302076500158,1.00431687997607,0,0,2.70245072186188,2.29030389296711,0,2.47961866371593
"Anaerobaculum",0,0,0,0,1.80890650440318,0,0,0,0,0,0,0,0,0,0
"Anaerococcus",0,0,0,0,0,0,0,0,0.502158439988034,2.37438776063718,1.32958027626467,6.08051412418924,1.52686926197807,4.07232400077945,0
"Anaerofustis",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0,0,0
"Anaeroglobus",0,0,0,0.98453977562695,0,0,0,0,0,0,0,0,0,0,0
"Anaerolinea",0,0,3.09929096324684,0,0,1.45323868925697,0,0,1.00431687997607,0,3.988740828794,2.70245072186188,12.2149540958246,9.88992971617865,0
"Anaeromyxobacter",0,0,5.16548493874473,0,0,1.45323868925697,1.21759143689248,0,1.5064753199641,0,0.664790138132334,5.40490144372377,3.05373852395614,2.9088028576996,2.47961866371593
"Anaerostipes",0,0,0,0,0,0,0,0,0,2.37438776063718,1.32958027626467,0,0,0,0
"Anaerotruncus",0,0,0,0,1.80890650440318,0,0,0,3.0129506399282,0,0,0.675612680465471,0,1.16352114307984,0
"Anaplasma",0,0,0,0,0,0,0,1.20302076500158,0,0,0,0,0,0,0
"X.Anaplasmataceae.",0,0,0,0,0,0,1.21759143689248,0,0,2.37438776063718,0,0,0,0,0
"Aneurinibacillus",0,0,0,0,0,0,0,0,0,0,0,0.675612680465471,0,0.581760571539921,0
"Angomonas",0,0,0,0,0,0,1.21759143689248,0,0,0,0,0,0,0,0
"Annulohypoxylon",0,0,1.03309698774895,1.9690795512539,0,0,1.21759143689248,0,0,0,0,0,0.763434630989036,0,0
"Anopheles",0,0,0,0,0,0,0,2.40604153000316,1.00431687997607,0,2.65916055252934,0,1.52686926197807,1.16352114307984,0
"Anoplophora",0,2.22483631476923,0,0,0,0,0,86.6174950801138,0,0,0,0,0,0,0
"Anoxybacillus",0,0,0,1.9690795512539,0,0,0,0,0,0,0,0,0,0,0
"Aphanomyces",0,0,0,0,0,0,0,0,0,2.37438776063718,0,0,0,0,0
"X.Aphididae.",0,0,0,0,0,1.45323868925697,0,0,0,0,0,0,0,0,0
"Aphrocallistes",0,0,0,0,0,0,0,0,0.502158439988034,0,0,0,0,0,0
"X.Apicomplexa.",0,0,0,0,0,0,1.21759143689248,0,0,0,0,0,0,0,0
"Apis",0,11.1241815738462,0,0.98453977562695,0,0,9.74073149513986,4.81208306000632,1.00431687997607,0,0,0,0,0,0
"Aquabacterium",0,0,1.03309698774895,0,0,0,0,0,0,0,0,0,0,0.581760571539921,0
"Aquamicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0.763434630989036,0,0
"Aquifex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X.Aquificaceae.",0,0,0,0,0,0,0,0,0,0,0,0,0.763434630989036,0,0
"X.Aquificae.",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0,0,0
"X.Aquificales.",0,0,0,0,0,0,0,0,0,0,0,0.675612680465471,0,0,0
"Aquimarina",0,0,1.03309698774895,0,1.80890650440318,0,0,0,1.00431687997607,0,1.32958027626467,3.37806340232735,0,0.581760571539921,0
"X.Arachnida.",0,0,0,0,0,0,1.21759143689248,0,0,21.3694898457347,0,0,0,0,0
"X.Araneae.",0,0,0,0,0,0,0,0,0,2.37438776063718,0,0,0,0,0
"Arcanobacterium",0,0,0,0,0,0,0,0,0.502158439988034,0,0.664790138132334,0.675612680465471,0.763434630989036,0,0
"X.Archaea.",0,0,6.19858192649367,0,25.3246910616445,15.9856255818266,0,0,19.0820207195453,0,17.2845435914407,118.232219081457,139.708537470994,197.798594323573,39.6738986194548
"Archaeoglobus",0,0,0,0,0,0,0,0,0.502158439988034,0,0,0.675612680465471,0,0,0
"Archiearis",0,0,0,0,0,0,0,1.20302076500158,0,0,0,0,0,0,0
"Arcobacter",0,0,2.06619397549789,0.98453977562695,0,0,0,0,0,0,0,0,0.763434630989036,0,0
"Arcticibacter",0,0,5.16548493874473,1.9690795512539,5.42671951320954,24.7050577173685,3.65277431067745,0,15.064753199641,4.74877552127437,19.2789140058377,9.45857752651659,3.05373852395614,9.30816914463873,0
"X.Armatimonadetes.",0,0,0,0.98453977562695,0,0,0,0,0,0,0,0,0.763434630989036,3.49056342923952,0
"Aromatoleum",0,0,1.03309698774895,0,0,0,0,0,0,2.37438776063718,0.664790138132334,2.02683804139641,0,2.9088028576996,0
"Arsenophonus",0,0,19.62884276723,0,0,0,0,1.20302076500158,0.502158439988034,0,0,0,0,0,7.43885599114778
"Arthrobacter",0,809.840418576001,716.969309497768,165.402682305328,103.107670750981,366.216149692756,224.036824388217,104.662806555138,239.529575874292,26.118265367009,495.268652908589,365.50646013182,273.309597894075,234.449510330588,1299.32017978715
"Arthroderma",0,0,3.09929096324684,0,0,0,0,1.20302076500158,1.5064753199641,0,0,0,0,0,0
"X.Arthrodermataceae.",0,0,2.06619397549789,0,0,0,0,0,0,0,0,0,0,0,0
"X.Arthropoda.",15.3960009960219,26.6980357772308,3.09929096324684,1.9690795512539,0,0,3.65277431067745,97.4446819651281,4.5194259598923,73.6060205797527,4.65353096692634,1.35122536093094,0,1.74528171461976,0
"Arthrospira",0,0,0,0.98453977562695,0,0,1.21759143689248,0,0,0,0.664790138132334,0,0,0,0
"Asaia",0,0,1.03309698774895,0,1.80890650440318,0,0,0,0,7.12316328191155,0,0.675612680465471,6.87091167890132,8.14464800155889,0
"X.Ascomycota.",0,422.718899806154,3469.13968486096,910.699292454929,1269.85236609103,967.856967045141,2021.20178524152,1147.68180981151,1984.53015483271,510.493368536995,1971.7675497005,618.861215306371,584.790927337601,436.90218922648,349.626231583946
"X.Aspergillaceae.",0,0,13.4302608407363,1.9690795512539,0,0,2.43518287378497,8.42114535501107,0,0,0.664790138132334,0,0,0,0
"Aspergillus",0,0,6.19858192649367,0,0,0,1.21759143689248,0,0,0,0,0,0,0,0
"Asticcacaulis",0,0,1.03309698774895,0,0,0,4.87036574756993,0,1.00431687997607,0,3.32395069066167,4.7292887632583,3.81717315494518,16.2892960031178,0
"Atopobium",0,0,2.06619397549789,0,0,0,0,0,0.502158439988034,0,2.65916055252934,0,0,0,0
"Atta",0,0,0,0.98453977562695,0,0,0,3.60906229500474,0,0,0,0,0,0,0
"X.Aurantimonadaceae.",0,0,0,0,1.80890650440318,0,0,0,0,0,0,0,0,0,0
"Aurantimonas",0,0,0,0,0,1.45323868925697,0,0,0,0,0,0,0,1.74528171461976,0
"Aureobasidium",0,0,0,0,0,0,0,3.60906229500474,0,0,0,0,0.763434630989036,0.581760571539921,0
"Aureococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47961866371593
"Austwickia",0,0,4.13238795099578,0.98453977562695,0,1.45323868925697,1.21759143689248,0,0.502158439988034,0,0,0,2.29030389296711,2.32704228615968,0
"Avibacterium",0,0,0,0,0,0,0,2.40604153000316,0,0,0,0,0,0,0
"Azoarcus",0,0,0,0,0,0,0,0,0.502158439988034,0,0,0,0,1.16352114307984,0
"Azohydromonas",0,0,1.03309698774895,0,0,0,0,0,0,0,0,0,0,0,0
"Azorhizobium",0,0,0,0,1.80890650440318,0,1.21759143689248,1.20302076500158,1.5064753199641,0,1.994370414397,0.675612680465471,1.52686926197807,4.65408457231936,0
"Azospira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azospirillum",0,0,6.19858192649367,0,0,14.5323868925697,1.21759143689248,1.20302076500158,6.52805971984444,0,9.30706193385268,11.485415567913,15.2686926197807,20.9433805754371,4.95923732743185
"Azotobacter",0,0,0,0,0,0,1.21759143689248,0,0,0,1.32958027626467,0,0,0,0
"X.Bacillaceae.",0,0,30.9929096324684,0,47.0315691144827,0,0,0,46.1985764788991,0,43.876149116734,147.283564341473,38.9351661804408,79.1194377294292,0
"X.Bacillales.",0,0,40.2907825222089,0,86.8275122113527,191.82750698192,0,0,173.244661795872,0,372.947267492239,279.703649712705,103.827109814509,170.455847461197,0
"X.Bacillariophyceae.",0,0,1.03309698774895,0,0,0,0,0,0,0,0,0,0,0,0
"X.Bacillariophyta.",0,0,4.13238795099578,0.98453977562695,0,0,0,0,0,0,0,0,0,0,0
"X.Bacilli.",0,0,37.191491558962,0,468.506784640424,63.9425023273066,9.74073149513986,21.6543737700285,113.487807437296,0,120.991805140085,49.9953383544448,81.6875055158268,85.5188040163683,4.95923732743185
"Bacillus",0,0,134.302608407363,0,0,0,0,56.5419759550743,49.2115271188273,0,41.881778702337,488.467967976536,112.988325386377,172.782889747356,0
"X.Bacteria.",0,0,2099.25307910586,0,1022.0321749878,1961.87223049691,845.008457203383,577.449967200759,4110.66898974204,591.222552398659,3310.65488789902,4595.51745252613,4046.20354424189,4953.69126666242,181.012162451263
"Bacteriovorax",0,0,1.03309698774895,0,1.80890650440318,11.6259095140557,13.3935058058173,1.20302076500158,9.03885191978461,0,3.32395069066167,4.7292887632583,4.58060778593422,7.56288743001897,9.91847465486371
"X.Bacteroidales.",0,0,24.7943277059747,0.98453977562695,139.285800839045,33.4244898529103,2.43518287378497,0,158.179908596231,45.1133674521065,192.124349920245,76.3442328925982,38.9351661804408,104.716902877186,19.8369493097274
"Bacteroides",0,0,13.4302608407363,0,66.9295406629177,45.050399366966,4.87036574756993,4.81208306000632,74.821607558217,26.118265367009,82.4339771284094,55.4002397981686,25.1933428226382,59.3395782970719,12.3980933185796
"X.Bacteroidetes.",0,0,578.534313139409,0,506.493821232891,2535.90151275341,316.573773592046,0,3118.90607076568,85.4779593829386,1981.73940177249,2770.01198990843,519.135549072544,1772.0427009106,0
"Bactrocera",1.18430776892476,0,0,0.98453977562695,0,0,0,14.436249180019,0,0,0,0,0,0.581760571539921,0
"Badnavirus",0,0,1.03309698774895,0,0,0,0,0,0,0,0,0,0,1.74528171461976,0
"Barnesiella",0,0,1.03309698774895,0,0,0,0,0,0,0,0.664790138132334,0.675612680465471,0,0.581760571539921,0
"Bartonella",1.18430776892476,149.064033089539,12.3971638529873,15.7526364100312,36.1781300880636,47.9568767454799,45.0508831650219,8.42114535501107,10.5453272397487,2.37438776063718,21.2732844202347,1.35122536093094,7.63434630989036,1.74528171461976,0
"Basfia",0,0,0,0,0,0,0,1.20302076500158,0,0,0,0,0,0,0
"X.Basidiomycota.",11.8430776892476,20.0235268329231,79.5484680566688,22.6444148394199,0,7.26619344628484,298.309902038658,36.0906229500474,15.566911639629,0,25.2620252490287,15.5390916507058,12.2149540958246,27.3427468623763,0
"Batrachochytrium",0,0,1.03309698774895,0,1.80890650440318,0,0,0,0.502158439988034,0,0.664790138132334,0,0,0,0
"Baudoinia",0,4.44967262953847,69.2174981791793,15.7526364100312,0,15.9856255818266,49.9212489125918,7.21812459000949,15.566911639629,7.12316328191155,19.2789140058377,0,4.58060778593422,2.32704228615968,0
"Bdellovibrio",0,0,3.09929096324684,0,0,14.5323868925697,1.21759143689248,0,14.562594759653,0,15.954963315176,4.7292887632583,6.87091167890132,9.30816914463873,0
"X.Bdellovibrionales.",2.36861553784953,0,0,0,0,1.45323868925697,0,0,2.51079219994017,0,1.994370414397,2.02683804139641,0,1.74528171461976,0
"Beauveria",0,0,1.03309698774895,0,0,0,1.21759143689248,1.20302076500158,0,0,0,0,0,0.581760571539921,0
"Beenakia",0,0,0,0,0,0,1.21759143689248,0,0,0,0,0,0,0,0
"Beggiatoa",0,0,2.06619397549789,0,0,1.45323868925697,0,1.20302076500158,2.00863375995214,2.37438776063718,1.32958027626467,0.675612680465471,0.763434630989036,3.49056342923952,0
"Beijerinckia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X.Beijerinckiaceae.",0,0,1.03309698774895,0,0,0,0,0,0,0,0,0,0,0,0
"Belliella",0,0,3.09929096324684,0.98453977562695,3.61781300880636,2.90647737851394,2.43518287378497,0,1.5064753199641,0,2.65916055252934,0.675612680465471,0,1.16352114307984,2.47961866371593
"Bergeyella",0,0,1.03309698774895,0,0,0,0,0,3.0129506399282,0,0,6.75612680465471,0,0,0
"Bermanella",0,0,1.03309698774895,0,0,0,0,0,0,0,0,0,0,0,0
"X.Betaproteobacteria.",0,0,0,0,0,0,0,0,879.279428419047,92.6011226648502,340.372550723755,399.962706835559,0,706.257333849464,0
"Beutenbergia",0,0,0,0,0,0,0,0,2.51079219994017,0,0,4.7292887632583,0,0.581760571539921,0
"Bhargavaea",0,0,0,0.98453977562695,3.61781300880636,0,0,0,5.52374283986837,0,3.988740828794,0,2.29030389296711,2.9088028576996,0
"Bibersteinia",0,0,0,0,0,0,0,0,0.502158439988034,0,0,0,0,0,0
"X.Bifidobacteriaceae.",0,55.6209078692308,1.03309698774895,0.98453977562695,0,0,63.3147547184091,73.3842666650964,0,0,0.664790138132334,2.02683804139641,0.763434630989036,0.581760571539921,0
"Bifidobacterium",0,157.963378348616,6.19858192649367,19.690795512539,0,0,198.467404213475,186.468218575245,3.51510907991624,0,1.994370414397,2.70245072186188,3.81717315494518,4.07232400077945,0
"Bilophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0.581760571539921,0
"Bipolaris",0,0,49.5886554119494,8.86085798064255,123.005642299416,58.1295475702787,41.3981088543444,18.0453114750237,153.15832419635,47.4877552127437,164.867954256819,33.7806340232735,35.8814276564847,26.7609862908363,2.47961866371593
"Bizionia",0,0,0,0,0,1.45323868925697,0,0,1.00431687997607,0,0,1.35122536093094,0,1.16352114307984,0
"Blastococcus",0,0,10.3309698774895,0,0,2.90647737851394,3.65277431067745,1.20302076500158,8.53669347979657,0,7.97748165758801,27.7001198990843,29.7739506085724,33.7421131493154,0
"Blastomonas",0,0,4.13238795099578,0,0,0,0,1.20302076500158,7.03021815983247,0,0,0,3.05373852395614,10.4716902877186,0
"Blastopirellula",0,0,0,0,0,0,0,0,0,0,0,2.02683804139641,0,0.581760571539921,0
"Blattabacterium",0,0,1.03309698774895,0,0,2.90647737851394,0,0,0,0,0,0.675612680465471,0,0,0
"Blautia",0,0,1.03309698774895,1.9690795512539,1.80890650440318,0,0,0,2.51079219994017,0,1.994370414397,2.02683804139641,0.763434630989036,1.74528171461976,0
